Organization,Role(s),Website,Email,Source notes
NF Innova,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
NOON HAKBAH Co,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Norrsken22,Investor,https://www.norrsken22.com/,info@norrsken22.com,Speaker/org listed on 2026 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2026-agenda; verified on https://www.norrsken22.com/
NQOODLET,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Nuva LLC,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Obscurae Intelligence Inc. (D.B.A. FalsiFind),Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Ofintech,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
ONFTECH AL ARABIA,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
OPENWAY MIDDLE EAST DMCC,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Operater,Exhibitor,—,—,The Runway. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Orbii Tech Ltd,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Oumla,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Pagsmile,Sponsor,https://www.pagsmile.com/,—,Bronze. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.pagsmile.com/ during this pass
Pagsmile Limited,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Paid Financial Company (ePAID),Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Pakistan Software Export Board (PSEB),Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Partners for Growth,Investor,https://www.pfgrowth.com/,—,Logo/testimonial on Investor Program page; Speaker/org listed on 2025 agenda (investor/VC-type affiliation); Speaker/org listed on 2026 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; https://money2020middleeast.com/2026-agenda; https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://www.pfgrowth.com/ during this pass
PayLater (Pay Later Website Services L.L.C.),Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Payment Expert / PPWm,Sponsor,https://www.paymentexpert.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.paymentexpert.com/ during this pass
Paymentology,Sponsor,https://www.paymentology.com/,—,Nextgen Stage. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.paymentology.com/ during this pass
PayMint,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
PayPal Ventures,Investor,https://www.paypal.com/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://www.paypal.com/ during this pass
Paywint,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Planto Limited,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Plug and Play,Investor / Sponsor,https://www.plugandplaytechcenter.com/,—,Community Partner; Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.plugandplaytechcenter.com/ during this pass
Portfolio Optimization,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Premium Residency,Exhibitor,—,—,The Runway. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Prism56 Ltd,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Proconsult International,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Projex Labs,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
PT Arabia Limited - PayTabs,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
PT Cepat Indonesia Berkarya,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Public Investment Fund (PIF),Investor,https://www.pif.gov.sa/,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://www.pif.gov.sa/ during this pass
Publicis Sapient,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
QaYd,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
QED Investors,Investor,https://qedinvestors.com/,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://qedinvestors.com/ during this pass
Qemma Collection,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
QNB,Investor,https://www.qnb.com/,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://www.qnb.com/ during this pass
Qsalary,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Quona Capital,Investor,https://quona.com/,info@quona.com,Logo/testimonial on Investor Program page; Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; https://money2020middleeast.com/investor/investor-program; verified on https://quona.com/contact/
RABEH Financial Company,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
"Rabita Al-Defaa Finance Company, a Limited…",Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Radaz Labs SL,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Rain,Investor,https://www.rain.bh/,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://www.rain.bh/ during this pass
Rave,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Raya Venture Capital,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
"Rebase AI, Inc.",Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Regent Protocol,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
"REMOTEPASS, INC.",Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
RePay Financials,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Rivapay,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Riyadh Region Municipality,Sponsor,https://www.alriyadh.gov.sa/,—,Sustainability Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.alriyadh.gov.sa/ during this pass
RMOZ,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
RockawayX,Investor,https://rockawayx.com/,ir@rockawayx.com,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; verified on https://rockawayx.com/contact
Romman,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Rovera,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Rox Custody,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
RSEEN,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
RUSU,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
S60 Ventures,Investor,https://s60.ventures/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://s60.ventures/ during this pass
SAB Bank,Exhibitor / Sponsor,https://www.sab.com/,—,Exhibitors; Gold. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.sab.com/ during this pass
SAB Invest,Investor,https://www.sabinvest.com/,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://www.sabinvest.com/ during this pass
Safqah Capital,Exhibitor / Sponsor,https://safqah.capital/,—,Exhibitors; Platinum. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://safqah.capital/ during this pass
SAHM ALGO,Exhibitor,—,—,The Runway. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
SAMA,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Sanabil Investments,Investor,https://www.sanabil.com/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://www.sanabil.com/ during this pass
Sanction Scanner LTD,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
SardineAI Corp,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
SareePay,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Sarj,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Sarj.ai,Sponsor,https://sarj.ai/,support@sarj.ai,Conversational AI Partner. Source: https://money2020middleeast.com/sponsors-partners; verified on https://sarj.ai
Saudi Central Bank (SAMA),Sponsor,https://www.sama.gov.sa/,—,Host. Source: https://money2020middleeast.com/sponsors-partners (Hosted/Co-organised); No verified public role inbox found at https://www.sama.gov.sa/ during this pass
Saudi Credit Information Company (SIMAH),Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Saudi Cybersecurity Company,Exhibitor / Sponsor,https://www.ssc.gov.sa/,—,Bronze; Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.ssc.gov.sa/ during this pass
Saudi Investment Bank (SAIB),Sponsor,https://www.saib.com.sa/,—,Gold. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.saib.com.sa/ during this pass
Saudi National Bank (SNB),Sponsor,https://www.alahli.com/,—,Founding Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.alahli.com/ during this pass
Saudi Venture Capital (SVC),Investor,https://svc.com.sa/,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://svc.com.sa/ during this pass
SC Ventures,Investor,https://scventures.io/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://scventures.io/ during this pass
Secure Advanced Virtual Infrastructure (SAVI),Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Seen Tarbi for Fintech,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Setlo Finance,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
"Shanghai Coshine Software Co.,Ltd",Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
SHIFT Financial Services ltd,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Shorooq Partners,Investor,https://shorooq.com/,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://shorooq.com/ during this pass
SIDF Investment Company SIC,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
SiFi,Exhibitor / Sponsor,https://sifi.sa/,support@sifi.sa,Exhibitors; Silver. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners; verified on https://www.sifi.app/ar/
Sigal Ventures,Investor,https://sigal.vc/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://sigal.vc/ during this pass
Signit for Information Systems Technology,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Signzy Technologies Pvt Ltd,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Silq Solutions,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
SIMAH,Sponsor,https://www.simah.com/,—,Gold. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.simah.com/ during this pass
Simba Express,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Siraaj Digital Solutions Pte Ltd.,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
SkipCash Solutions LLC,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Sky News Arabia,Sponsor,https://www.skynewsarabia.com/,sales@skynewsarabia.com,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; verified on https://www.skynewsarabia.com/
Sly,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Smart Digital Payment Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
SmartBenefits,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Smashi,Sponsor,https://smashi.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://smashi.com/ during this pass
Snapsec,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
SNB BANK,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Snipefinity,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Social Development Bank,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
SOLIDRANGE,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Solutions Intelligence (Arib),Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Sorbet Holdings Limited,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Spare Arabian Financial Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Speedinvest,Investor,https://www.speedinvest.com/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://www.speedinvest.com/ during this pass
STC Bank,Sponsor,https://www.stcbank.com.sa/,info@stcbank.com.sa,Founding Partner. Source: https://money2020middleeast.com/sponsors-partners; verified on https://www.stcbank.com.sa/
STC BANK,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Stitch,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Stride Ventures,Investor,https://www.strideventures.in/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation); Speaker/org listed on 2026 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; https://money2020middleeast.com/2026-agenda; No verified public role inbox found at https://www.strideventures.in/ during this pass
Sufrah Advanced Digital Company (LLC),Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Sukna Capital,Investor,https://sukna.capital/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://sukna.capital/ during this pass
Sukna Ventures,Investor,https://sukna.capital/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://sukna.capital/ during this pass
SUKUK Capital,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Sureen Company,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Tabby,Sponsor,https://tabby.ai/,press@tabby.ai,Silver. Source: https://money2020middleeast.com/sponsors-partners; verified on https://tabby.ai/en-AE/newsroom
Tabby Financing Company JSC,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Tahaluf,Exhibitor / Sponsor,https://tahaluf.com/,—,Co-organiser; Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners (Hosted/Co-organised); No verified public role inbox found at https://tahaluf.com/ during this pass
TahawulTech,Sponsor,https://www.tahawultech.com/,info@tahawultech.com,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; verified on https://www.tahawultech.com/
Tahlil albayanat alraqmiah Company for Information…,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
TAM Capital Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Tamam,Sponsor,https://tamam.sa/,—,Strategic. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://tamam.sa/ during this pass
Tamara,Sponsor,https://tamara.co/,pr@tamara.com,Founding Partner. Source: https://money2020middleeast.com/sponsors-partners; verified on https://tamara.co/en-sa/media-center
Tamara Finance Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Tameed,Exhibitor / Sponsor,https://tameed.sa/,info@tameed.sa,Exhibitors; Gold. Source: https://money2020middleeast.com/2026-exhibitor; https://money2020middleeast.com/sponsors-partners; verified on https://tameed.sa/
Tamweel Aloula,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Tanami Capital for Investment,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Tanweel,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Tarmeez Capital,Exhibitor / Investor,https://tarmeez.capital/,—,Exhibitors; Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; https://money2020middleeast.com/2026-exhibitor; No verified public role inbox found at https://tarmeez.capital/ during this pass
TCC,Sponsor,https://www.tcc.com.sa/,—,Gold. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://www.tcc.com.sa/ during this pass
Technology Control Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
TechSpace,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Test Booth,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
TEST BOOTH MONEY 20/20,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
The Financial Academy,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
The Fintech Times,Sponsor,https://thefintechtimes.com/,—,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; No verified public role inbox found at https://thefintechtimes.com/ during this pass
The Sulaiman Al Rajhi Development Financing (RFD),Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
The Wall Street Journal,Sponsor,https://www.wsj.com/,support@wsj.com,Media Partner. Source: https://money2020middleeast.com/sponsors-partners; verified on https://www.wsj.com/about-us
Thomson Reuters Ventures,Investor,https://www.thomsonreuters.com/,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; No verified public role inbox found at https://www.thomsonreuters.com/ during this pass
Thunes Asia Private Limited,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Tijarahub,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Tohf Holdings Limited,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Totally,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
TotalPay Company Limited,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
TPS Arabia,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Traderpal LLC,Exhibitor,—,—,The Runway. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Trell,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Trendly,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Trent,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Trustangle,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
TryHeron,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
UmraPay Financial Technology Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
UnionPay International Co,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Unipal,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Validus Investment Holdings,Investor,https://validusholdings.com/,—,Speaker/org listed on 2026 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2026-agenda; No verified public role inbox found at https://validusholdings.com/ during this pass
Valor Capital Group,Investor,https://valorcapitalgroup.com/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://valorcapitalgroup.com/ during this pass
ValueMentor Cyber Security Company,Exhibitor,—,—,Exhibitors. Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Vanquour Wealth Management,Investor,—,—,Logo/testimonial on Investor Program page. Source: https://money2020middleeast.com/investor/investor-program; Website not confirmed from Money20/20 ME listing pages; email not invented
VAS Acceptance,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
VAS Issuing & Risk,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Vast Solutions Company (Vast Group),Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Velox (Amana Pay),Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
VentureSouq,Investor,https://www.venturesouq.com/,—,Speaker/org listed on 2025 agenda (investor/VC-type affiliation). Source: https://money2020middleeast.com/2025-agenda; No verified public role inbox found at https://www.venturesouq.com/ during this pass
Visa,Sponsor,https://www.visa.com/,press@visa.com,Founding Partner. Source: https://money2020middleeast.com/sponsors-partners; verified on Visa newsroom
Visa Commercial Solutions,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Visa Direct,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
Visa General,Exhibitor,—,—,Source: https://money2020middleeast.com/2026-exhibitor; Website not confirmed from Money20/20 ME listing pages; email not invented
